,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,项目名称,单价,单位,数量(2人）,小计（2人）,数量(4人）,小计（4人）,备注,,日期,3星级,4星,5星,,,,,,
,Day 10,GZ-GUIDE-01,贵州,英文导游,800,天,1,800,1,800,,,,,,,,,,,,
,Day 10,GZ-TICKET-05,黔东南,肇兴侗寨,80,人,2,160,4,320,,,,,,,,,,,,
,Day 11,GZ-GUIDE-01,贵州,英文导游,800,天,1,800,1,800,,,,,,,,,,,,
,Day 11,GZ-TICKET-06,荔波,荔波小七孔,170,人,2,340,4,680,,,,,,,,,,,,
,Day 12,MULTI-FLIGHT-02,贵阳-上海,经济舱机票,700,人,2,1400,4,2800,07:15-09:35 上航FM9460,,,,,,,,,,,
,Day 12,SH-GUIDE-01,上海,英文导游,1200,天,1,1200,1,1200,,,,,,,,,,,,
,Day 12,SH-TRANS-06,上海,滴滴快车市内,250,天,1,250,0,0,含50人民币空间,,,,,,,,,,,
,Day 12,SH-TRANS-02,上海,7座车市内包车,800,天,0,0,1,800,,,,,,,,,,,,
,Day 12,SH-TICKET-04,上海,静安寺门票,50,人,2,100,4,200,,,,,,,,,,,,
,Day 13,SH-GUIDE-01,上海,英文导游,1200,天,1,1200,1,1200,,,,,,,,,,,,
,Day 13,SH-TRANS-06,上海,滴滴快车市内,250,天,1,250,0,0,含50人民币空间,,,,,,,,,,,
,Day 13,SH-TRANS-02,上海,7座车市内包车,800,天,0,0,1,800,,,,,,,,,,,,
,Day 13,SH-TICKET-02,上海,豫园门票,40,人,2,80,4,160,,,,,,,,,,,,
,Day 13,SH-TICKET-7,上海,城隍庙门票,10,人,2,20,4,40,,,,,,,,,,,,
,Day 14,-,上海,送机,150,-,1,150,1,150,,,,,,,,,,,,
,,,,操作费北京10%,,,,600,,850,,,,,,,,,,,,
,总计,,,,,,,23491,,33477,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"
",,,,,,,,,,,,,,,,,,,,,,
