,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Day 2,XA-ACTIVITY-02,西安,活动,唐乐舞表演,贵宾席,198,,人,,,0,0,,,,,,,,,
,Day 2,XA-TRANS-02,西安,车辆,7座车,市内+兵马俑包车+司机,600,,天,,1,0,600,,,,,,,,,
,Day 2,XA-TRANS-07,西安,打车,滴滴快车,市内+兵马俑,500,,天,,0,0,0,,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,,
,Day 3,XA-ACTIVITY-03,西安,活动,城墙自行车租赁,单人车,45,,2小时,2,4,90,180,,,,,,,,,
,Day 3,XA-TICKET-04,西安,门票,钟鼓楼,钟楼、鼓楼联票,50,,人,2,4,100,200,,,,,,,,,
,Day 3,XA-TICKET-06,西安,门票,大慈恩寺,门票,45,,人,2,4,90,180,,,,,,,,,
,Day 3,XA-TICKET-05,西安,门票,大雁塔,登塔费,25,,人,2,4,50,100,,,,,,,,,
,Day 3,XA-GUIDE-01,西安,导游,英文导游-初级,8h景点讲解,900,,天,1,1,900,900,,,,,,,,,
,Day 3,XA-TRANS-06,西安,打车,滴滴快车,市内,180,,天,0,0,0,0,,,,,,,,,
,Day 1,XA-TRANS-02,西安,车辆,7座车,市内+兵马俑包车+司机,600,,天,0,1,0,600,,,,,,,,,
,Day 3,XA-REC-01,西安,推荐活动,回民街小吃,人均20,,,人,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,总计,,,,,,,,,,,3620,6340,,,,,,,,,
